identifier,title
1.0.HCount.1.25usd,Poverty Headcount ($1.25 a day)
1.0.HCount.10usd,Under Middle Class ($10 a day) Headcount
1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day)
1.0.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount
1.0.HCount.Ofcl,Official Moderate Poverty Rate-National
1.0.HCount.Poor4uds,Poverty Headcount ($4 a day)
1.0.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount
1.0.PGap.1.25usd,Poverty Gap ($1.25 a day)
1.0.PGap.10usd,Under Middle Class ($10 a day) Gap
1.0.PGap.2.5usd,Poverty Gap ($2.50 a day)
1.0.PGap.Mid10to50,Middle Class ($10-50 a day) Gap
1.0.PGap.Poor4uds,Poverty Gap ($4 a day)
1.0.PGap.Vul4to10,Vulnerable ($4-10 a day) Gap
1.0.PSev.1.25usd,Poverty Severity ($1.25 a day)
1.0.PSev.10usd,Under Middle Class ($10 a day) Severity
1.0.PSev.2.5usd,Poverty Severity ($2.50 a day)
1.0.PSev.Mid10to50,Middle Class ($10-50 a day)Severity
1.0.PSev.Poor4uds,Poverty Severity ($4 a day)
1.0.PSev.Vul4to10,Vulnerable ($4-10 a day) Severity
1.1.HCount.1.25usd,Poverty Headcount ($1.25 a day)-Rural
1.1.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Rural
1.1.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Rural
1.1.HCount.Ofcl,Official Moderate Poverty Rate- Rural
1.1.HCount.Poor4uds,Poverty Headcount ($4 a day)-Rural
1.1.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Rural
1.1.PGap.1.25usd,Poverty Gap ($1.25 a day)-Rural
1.1.PGap.2.5usd,Poverty Gap ($2.50 a day)-Rural
1.1.PGap.Mid10to50,Middle Class ($10-50 a day) Gap-Rural
1.1.PGap.Poor4uds,Poverty Gap ($4 a day)-Rural
1.1.PGap.Vul4to10,Vulnerable ($4-10 a day) Gap-Rural
1.1.PSev.1.25usd,Poverty Severity ($1.25 a day)-Rural
1.1.PSev.2.5usd,Poverty Severity ($2.50 a day)-Rural
1.1.PSev.Mid10to50,Middle Class ($10-50 a day) Severity-Rural
1.1.PSev.Poor4uds,Poverty Severity ($4 a day)-Rural
1.1.PSev.Vul4to10,Vulnerable ($4-10 a day) Severity-Rural
1.2.HCount.1.25usd,Poverty Headcount ($1.25 a day)-Urban
1.2.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Urban
1.2.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Urban
1.2.HCount.Ofcl,Official Moderate Poverty Rate-Urban
1.2.HCount.Poor4uds,Poverty Headcount ($4 a day)-Urban
1.2.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Urban
1.2.PGap.1.25usd,Poverty Gap ($1.25 a day)-Urban
1.2.PGap.2.5usd,Poverty Gap ($2.50 a day)-Urban
1.2.PGap.Mid10to50,Middle Class ($10-50 a day) Gap-Urban
1.2.PGap.Poor4uds,Poverty Gap ($4 a day)-Urban
1.2.PGap.Vul4to10,Vulnerable ($4-10 a day) Gap-Urban
1.2.PSev.1.25usd,Poverty Severity ($1.25 a day)-Urban
1.2.PSev.2.5usd,Poverty Severity ($2.50 a day)-Urban
1.2.PSev.Mid10to50,Middle Class ($10-50 a day) Severity-Urban
1.2.PSev.Poor4uds,Poverty Severity ($4 a day)-Urban
1.2.PSev.Vul4to10,Vulnerable ($4-10 a day) Severity-Urban
2.0.cov.C6G,Coverage: Completing 6th grade on time
2.0.cov.Cel,Coverage: Mobile Phone
2.0.cov.Ele,Coverage: Electricity
2.0.cov.Int,Coverage: Internet
2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2
