dataset,time
2.01.01.02.nabase,38.7275280952454
2.01.03.01.prcpbase,38.3532903194427
2.04.01.01.excncpt,32.6157970428467
2.1_PRE.PRIMARY.GER,30.8858993053436
2.2_GIR,31.1006550788879
2.3_GIR.GPI,29.524001121521
2.4_OOSC.RATE,1.86979866027832
2.5_PCR,31.3807218074799
2.6_PCR.GPI,29.6424610614777
2.7_PRI.SEC.TRANSITION.RATE,30.2935202121735
2.8_LOW.SEC.COMPLETION.RATE,29.7676057815552
3.01.04.01.agcen,39.368136882782
3.02.01.02.fscov,39.1555912494659
3.11.01.01.popcen,38.5444538593292
3.11.01.03.popreg,38.5822868347168
3.11_LOW.SEC.CLASSROOMS,1.90393352508545
3.12_LOW.SEC.NEW.CLASSROOMS,2.02468085289001
3.13_PRI.MATH.BOOK.PER.PUPIL,1.91617321968079
3.14_PRI.LANGU.BOOK.PER.PUPIL,2.00429129600525
3.1_LOW.SEC.NEW.TEACHERS,2.00771069526672
3.1_PRI.NEW.ENTRANTS,2.11484241485596
3.2_PRI.STUDENTS,31.3208582401276
3.3_PRI.TEACHERS,30.8968844413757
3.4_PRI.NEW.TEACHERS,29.9313147068024
3.5_PRI.CLASSROOMS,2.29795432090759
3.6_PRI.NEW.CLASSROOMS,29.6494028568268
3.7_LOW.SEC.NEW.ENTRANTS,1.95792317390442
3.8_LOW.SEC.STUDENTS,2.05070328712463
3.9_LOW.SEC.TEACHERS,29.4410116672516
4.1_TOTAL.EDU.SPENDING,2.01771998405457
4.2_BASIC.EDU.SPENDING,2.00931787490845
4.3_TOTAL.EDU.RECURRENT,2.03527069091797
4.4_BASIC.EDU.RECURRENT,29.7370369434357
5.01.01.01.indust,38.58376121521
5.04.01.01.exdebt,38.0803894996643
5.04.01.02.impexp,37.4930860996246
5.1.10_AFG.TOTA.AID.SIDA,1.91016530990601
5.1.10_ETH.TOTA.AID.JPN,1.96495175361633
5.1.10_LAO.TOTA.AID.WB,1.93253755569458
5.1.10_MWI.TOTA.AID.WFP,1.93420100212097
5.1.10_NER.TOTA.AID.UNICEF,1.97523403167725
5.1.10_TJK.TOTA.AID.WB,1.87557125091553
5.1.11_AFG.TOTA.AID.UNESCO,1.93667197227478
5.1.11_ETH.TOTA.AID.JICA,1.97952604293823
5.1.11_KHM.TOTA.AID.WB,1.9572594165802
5.1.11_LAO.TOTA.AID.INGOS,1.96084666252136
5.1.11_MWI.TOTA.AID.WB,1.9171986579895
5.1.12_ETH.TOTA.AID.KFW,1.91686797142029
5.1.13_ETH.TOTA.AID.NLD,1.96483588218689
5.1.14_ETH.TOTA.AID.SIDA,1.87276482582092
5.1.14_MOZ.TOTA.AID.UNICEF,1.94072246551514
5.1.15_MOZ.TOTA.AID.USAID,1.90918803215027
5.1.16_ETH.TOTA.AID.USAID,1.89989399909973
5.1.16_MOZ.TOTA.AID.WB,1.96937942504883
5.1.17_ETH.TOTA.AID.WFP,1.84593343734741
5.1.18_ETH.TOTA.AID.WB,1.92200803756714
5.1.1_AFG.TOTA.AID.CIDA,1.92635798454285
5.1.1_BFA.TOTA.AID.CIDA,1.86372971534729
5.1.1_CAF.TOT.AID.GPE,1.91906762123108
5.1.1_DJI.TOTA.AID.WB,1.90992951393127
5.1.1_ETH.TOTA.AID.ADB,1.94236612319946
5.1.1_GEO.TOTA.AID.EC,1.92839694023132
5.1.1_GHA.TOTA.AID.DFID,1.8328320980072
5.1.1_GNB.TOTA.AID.ADPP.EU,1.90120625495911
5.1.1_KGZ.TOTA.AID.ADPP.EU,1.90952730178833
5.1.1_LAO.TOTA.AID.ADB,1.87185192108154
5.1.1_MDA.TOTA.AID.UNICEF,1.88656330108643
5.1.1_MOZ.TOTA.AID.CAN,1.874347448349
5.1.1_MWI.TOTA.AID.AFDB,1.88006067276001
5.1.1_NER.TOTA.AID.AFD,1.91469097137451
5.1.1_RWA.TOTA.AID.DFID,1.80693697929382
5.1.1_SEN.TOTA.AID.CIDA,1.86508059501648
5.1.1_VNM.TOTA.AID.BEL,1.91269612312317
5.1.1_ZMB.TOTA.AID.DNK,1.89329314231873
5.1.2_BFA.TOTA.AID.AFD,1.92332911491394
5.1.2_DJI.TOTA.AID.FSD,1.88382387161255
5.1.2_ETH.TOTA.AID.BEL,1.90551805496216
5.1.2_GNB.TOTA.AID.ADPP.HUM,1.94941115379333
5.1.2_KGZ.TOTA.AID.ADPP.GIZ,1.80832719802856
5.1.2_MDA.TOTA.AID.WB,1.87058854103088
5.1.2_MDG.TOTA.AID.ILO,1.90133786201477
5.1.2_MWI.TOTA.AID.CIDA,1.84089350700378
5.1.2_NER.TOTA.AID.BEL,1.89248561859131
5.1.2_RWA.TOTA.AID.GPE,1.88941550254822
5.1.2_TJK.TOTA.AID.AGAK,1.86226272583008
5.1.2_VNM.TOTA.AID.CIDA,1.91774034500122
5.1.3_BFA.TOTA.AID.CHE,1.79212546348572
5.1.3_CMR.TOTA.AID.FR,1.85242533683777
5.1.3_DJI.TOTA.AID.AFD,1.88169193267822
5.1.3_ETH.TOTA.AID.DFID,1.80337977409363
5.1.3_GEO.TOTA.AID.USAID,1.85753750801086
5.1.3_GHA.TOTA.AID.JICA,1.86869382858276
5.1.3_GNB.TOTA.AID.ADPP.OTH,1.84810161590576
5.1.3_KGZ.TOTA.AID.ADPP.UNICEF,1.87558770179749
5.1.3_LBR.TOTA.AID.WB,1.85162448883057
