datasetX,datasetY,similarity
2.01.01.02.nabase,2.01.01.02.nabase,1.0
2.01.01.02.nabase,2.01.03.01.prcpbase,0.546684
2.01.01.02.nabase,2.04.01.01.excncpt,0.00227373
2.01.01.02.nabase,2.1_PRE.PRIMARY.GER,0.481812
2.01.01.02.nabase,2.2_GIR,0.338566
2.01.01.02.nabase,2.3_GIR.GPI,0.0118716
2.01.01.02.nabase,2.5_PCR,0.336421
2.01.01.02.nabase,2.6_PCR.GPI,-0.0113336
2.01.01.02.nabase,2.7_PRI.SEC.TRANSITION.RATE,0.44512
2.01.01.02.nabase,2.8_LOW.SEC.COMPLETION.RATE,0.3446
2.01.01.02.nabase,3.01.04.01.agcen,0.0014659
2.01.01.02.nabase,3.02.01.02.fscov,0.00468722
2.01.01.02.nabase,3.11.01.01.popcen,-0.00896307
2.01.01.02.nabase,3.11.01.03.popreg,0.0775619
2.01.01.02.nabase,3.2_PRI.STUDENTS,0.439998
2.01.01.02.nabase,3.3_PRI.TEACHERS,0.448997
2.01.01.02.nabase,3.4_PRI.NEW.TEACHERS,0.450779
2.01.01.02.nabase,3.6_PRI.NEW.CLASSROOMS,0.443986
2.01.01.02.nabase,3.9_LOW.SEC.TEACHERS,0.455432
2.01.01.02.nabase,4.4_BASIC.EDU.RECURRENT,-0.0241947
2.01.01.02.nabase,5.01.01.01.indust,0.00198807
2.01.01.02.nabase,5.04.01.01.exdebt,0.0168039
2.01.01.02.nabase,5.04.01.02.impexp,0.0752657
2.01.01.02.nabase,5.12.01.01.unesco,0.0393802
2.01.01.02.nabase,5.13.01.01.hlthsurv,-0.000705106
2.01.01.02.nabase,5.13.01.01.who,0.50122
2.01.01.02.nabase,5.14.01.01.povsurv,-0.00159191
2.01.01.02.nabase,5.1_TOTAL.EDU.AID,-0.0218459
2.01.01.02.nabase,5.21.01.01.sdds,-0.2044
2.01.01.02.nabase,5.2_BASIC.EDU.AID,-0.0340588
2.01.01.02.nabase,5.51.01.01.poverty,-0.00178287
2.01.01.02.nabase,5.51.01.02.malnut,-0.0573796
2.01.01.02.nabase,5.51.01.03.mortal,-0.0443517
2.01.01.02.nabase,5.51.01.04.immun,0.330079
2.01.01.02.nabase,5.51.01.05.hiv,0.0
